date,in,out
2022-08-25 00:00:00,115,20
2022-08-26 00:00:00,197,38
2022-08-27 00:00:00,208,42
2022-08-28 00:00:00,177,62
2022-08-29 00:00:00,122,41
2022-08-30 00:00:00,213,67
2022-08-31 00:00:00,277,69
2022-09-01 00:00:00,281,89
2022-09-02 00:00:00,232,64
2022-09-03 00:00:00,233,68
2022-09-04 00:00:00,115,39
2022-09-05 00:00:00,134,28
2022-09-06 00:00:00,243,100
2022-09-07 00:00:00,253,103
2022-09-08 00:00:00,240,95
2022-09-09 00:00:00,258,87
2022-09-10 00:00:00,219,61
2022-09-11 00:00:00,103,29
2022-09-12 00:00:00,191,84
2022-09-13 00:00:00,250,85
2022-09-14 00:00:00,240,90
2022-09-15 00:00:00,280,117
2022-09-16 00:00:00,240,64
2022-09-17 00:00:00,255,79
2022-09-18 00:00:00,185,64
2022-09-19 00:00:00,211,84
2022-09-20 00:00:00,190,90
2022-09-21 00:00:00,237,87
2022-09-22 00:00:00,208,103
2022-09-23 00:00:00,175,59
2022-09-24 00:00:00,194,56
2022-09-25 00:00:00,84,35
2022-09-26 00:00:00,145,66
2022-09-27 00:00:00,195,85
2022-09-28 00:00:00,198,75
2022-09-29 00:00:00,191,81
2022-09-30 00:00:00,189,71
2022-10-01 00:00:00,198,53
2022-10-02 00:00:00,120,49
2022-10-03 00:00:00,177,75
2022-10-04 00:00:00,203,77
2022-10-05 00:00:00,244,91
2022-10-06 00:00:00,217,92
2022-10-07 00:00:00,149,81
2022-10-08 00:00:00,138,47
2022-10-09 00:00:00,143,52
2022-10-10 00:00:00,189,92
2022-10-11 00:00:00,212,87
2022-10-12 00:00:00,138,63
2022-10-13 00:00:00,142,66
2022-10-14 00:00:00,164,56
2022-10-15 00:00:00,116,38
2022-10-16 00:00:00,77,29
2022-10-17 00:00:00,53,26
2022-10-18 00:00:00,59,28
2022-10-19 00:00:00,90,41
2022-10-20 00:00:00,111,64
2022-10-21 00:00:00,167,66
2022-10-22 00:00:00,192,50
2022-10-23 00:00:00,139,36
2022-10-24 00:00:00,156,65
2022-10-25 00:00:00,175,76
2022-10-26 00:00:00,108,57
2022-10-27 00:00:00,166,66
2022-10-28 00:00:00,168,53
2022-10-29 00:00:00,177,46
2022-10-30 00:00:00,130,39
2022-10-31 00:00:00,81,43
2022-11-01 00:00:00,176,82
2022-11-02 00:00:00,176,75
2022-11-03 00:00:00,171,79
2022-11-04 00:00:00,162,71
2022-11-05 00:00:00,105,46
2022-11-06 00:00:00,124,49
2022-11-07 00:00:00,148,89
2022-11-08 00:00:00,144,59
2022-11-09 00:00:00,157,72
2022-11-10 00:00:00,169,85
2022-11-11 00:00:00,154,62
2022-11-12 00:00:00,75,29
2022-11-13 00:00:00,67,22
2022-11-14 00:00:00,95,51
2022-11-15 00:00:00,86,37
2022-11-16 00:00:00,102,61
2022-11-17 00:00:00,91,51
2022-11-18 00:00:00,46,20
2022-11-19 00:00:00,46,24
2022-11-20 00:00:00,1,0
