datetime,in,out
2022-08-25,115,20
2022-08-26,197,38
2022-08-27,208,42
2022-08-28,177,62
2022-08-29,122,41
2022-08-30,213,67
2022-08-31,277,69
2022-09-01,281,89
2022-09-02,232,64
2022-09-03,233,68
2022-09-04,115,39
2022-09-05,134,28
2022-09-06,243,100
2022-09-07,253,103
2022-09-08,240,95
2022-09-09,258,87
2022-09-10,219,61
2022-09-11,103,29
2022-09-12,191,84
2022-09-13,250,85
2022-09-14,240,90
2022-09-15,280,117
2022-09-16,240,64
2022-09-17,255,79
2022-09-18,185,64
2022-09-19,211,84
2022-09-20,190,90
2022-09-21,237,87
2022-09-22,208,103
2022-09-23,175,59
2022-09-24,194,56
2022-09-25,84,35
2022-09-26,145,66
2022-09-27,195,85
2022-09-28,198,75
2022-09-29,191,81
2022-09-30,189,71
2022-10-01,198,53
2022-10-02,120,49
2022-10-03,177,75
2022-10-04,203,77
2022-10-05,244,91
2022-10-06,217,92
2022-10-07,149,81
2022-10-08,138,47
2022-10-09,143,52
2022-10-10,189,92
2022-10-11,212,87
2022-10-12,138,63
2022-10-13,142,66
2022-10-14,164,56
2022-10-15,116,38
2022-10-16,77,29
2022-10-17,53,26
2022-10-18,59,28
2022-10-19,90,41
2022-10-20,111,64
2022-10-21,167,66
2022-10-22,192,50
2022-10-23,139,36
2022-10-24,156,65
2022-10-25,175,76
2022-10-26,108,57
2022-10-27,166,66
2022-10-28,168,53
2022-10-29,177,46
2022-10-30,130,39
2022-10-31,81,43
2022-11-01,176,82
2022-11-02,176,75
2022-11-03,171,79
2022-11-04,162,71
2022-11-05,105,46
2022-11-06,124,49
2022-11-07,148,89
2022-11-08,144,59
2022-11-09,157,72
2022-11-10,169,85
2022-11-11,154,62
2022-11-12,75,29
2022-11-13,67,22
2022-11-14,95,51
2022-11-15,86,37
2022-11-16,102,61
2022-11-17,91,51
2022-11-18,46,20
2022-11-19,46,24
2022-11-20,1,0
