date,in,out
2022-06-15 00:00:00,58,56
2022-06-16 00:00:00,42,42
2022-06-17 00:00:00,80,83
2022-06-18 00:00:00,113,111
2022-06-19 00:00:00,121,123
2022-06-20 00:00:00,66,65
2022-06-21 00:00:00,82,75
2022-06-22 00:00:00,77,77
2022-06-23 00:00:00,102,92
2022-06-24 00:00:00,44,46
2022-06-25 00:00:00,24,82
2022-06-26 00:00:00,71,67
2022-06-27 00:00:00,116,91
2022-06-28 00:00:00,131,91
2022-06-29 00:00:00,107,102
2022-06-30 00:00:00,101,105
2022-07-01 00:00:00,52,50
2022-07-02 00:00:00,164,160
2022-07-03 00:00:00,120,113
2022-07-04 00:00:00,134,128
2022-07-05 00:00:00,82,71
2022-07-06 00:00:00,47,47
2022-07-07 00:00:00,105,101
2022-07-08 00:00:00,46,47
2022-07-09 00:00:00,122,115
2022-07-10 00:00:00,157,136
2022-07-11 00:00:00,90,80
2022-07-12 00:00:00,110,112
2022-07-13 00:00:00,74,68
2022-07-14 00:00:00,117,118
2022-07-15 00:00:00,76,70
2022-07-16 00:00:00,98,91
2022-07-17 00:00:00,78,70
2022-07-18 00:00:00,97,86
2022-07-19 00:00:00,63,80
